stemmed_word,sentiment_score
the,-0.50183952461055
and,0.1709648874981582
a,0.9279757672456204
of,-0.07167536707090694
to,-0.16610453871954034
is,-1.3760219186551894
it,-0.11114029935220282
in,1.9176820547103985
i,0.4044600469728352
thi,1.9901033288952328
that,-0.8605083921523087
wa,0.10847236227361723
as,1.329770563201687
for,-1.1506435572868954
with,-0.026596512468009426
movi,-1.650269910343158
but,-1.063853166241842
film,1.1551460661006594
on,1.5977498495788658
not,-1.529293949418804
you,0.4474115788895179
he,1.2988926563076806
are,-0.8314214058591274
hi,-0.1849849589985859
have,-0.6084334808845702
be,0.6291944132171583
one,-0.2085982781147262
!,0.05693775365444642
all,-0.5695059220450251
at,-1.814198349120009
by,-0.016754086448199423
an,0.7421120600433455
who,-0.41741271521315015
they,1.795542149013333
from,1.8625281322982374
so,1.1300280707436117
like,1.5721985009518544
there,1.0508268928931348
her,-0.2694300775838565
or,-0.2393900250415948
just,-1.8918412409940148
about,-1.9090638403088653
if,1.5930335994153162
ha,0.6521887672136897
out,0.659222261467614
what,-1.0353391427689522
?,-0.7531556956423562
some,0.08027208471124325
good,-1.3977658721776667
more,1.1873483084270453
when,1.8783385110582342
she,1.8360283470577379
veri,1.7579957662567565
even,0.02093139809023059
my,0.39159991524434057
no,0.004208000941853474
up,-0.0841323532834144
time,-0.20357422673298187
would,-1.8190908443578477
which,-0.6986786769469426
onli,-0.44529084124207197
stori,0.2083919479495897
realli,1.3149500366077174
their,0.4608595863876559
see,0.5035655057480364
had,0.17078433263299386
can,-0.8993807728377914
were,1.2087879230161587
me,1.8893148412415735
we,0.31725786664775146
than,1.0889790771866297
well,1.3586260262809358
much,-1.9779115315055904
been,1.156772547093324
get,1.3795012438778183
peopl,-0.3110675800599907
will,-1.5120063025374129
bad,0.7084590229919194
other,-1.884726499436546
also,-1.5365237618994811
into,1.452413703502374
do,-0.6101214340095136
becaus,-0.6764079005894033
great,-1.2733723766484895
first,-1.8653169537730658
how,1.8051351851412365
him,1.3568258798157449
most,0.5502298854208525
don't,1.5488509703053062
made,-1.5216230162467932
then,0.85297914889198
them,1.0431401944675898
way,1.2663977578863084
make,-0.5283104588784844
could,-0.024817614542437028
too,0.09093131752797623
ani,0.5207487094662864
after,-1.8983234930236192
think,-0.4647359671135667
charact,0.9586041017144002
watch,-0.7340090102222674
two,1.6865683435783083
mani,-1.8861726012320656
seen,0.31229115188993983
act,-0.4511490562428442
never,-0.8409941883449279
plot,-1.2442807449401907
littl,1.7187906093702923
where,-0.9592673156718621
love,-1.5672436929739693
best,1.2699391524628298
life,-0.04221927507500878
did,-1.2537197644558566
show,0.45194344825475374
know,1.935910591839313
doe,-1.138677889885074
ever,1.3059974492040314
here,1.4816433142332013
better,1.287456223560231
